rank,priority_bucket,faculty_name,likely_faculty_status,institution,country_code,us_or_non_us,in_existing_us_grad_program_file,grad_advisor_fit,advisor_competitiveness,matched_works_count,most_recent_matched_year,computational_ecology_fit_tags,openalex_h_index,openalex_works_count,openalex_cited_by_count,top_matched_journals,representative_work_1,representative_work_2,representative_work_3,why_theo_should_research,suggested_first_email_angle,orcid,openalex_profile_url,data_source_snapshot_date
471,C - keep on longlist,Benjamin R. Shipley,Career stage unclear (manual check needed),University of Oxford,GB,Non-US,no,Strong (university advisor pipeline),Selective but variable,2,2023,species_distribution,7,27,235,Ecography; Ecological Modelling,megaSDM: integrating dispersal and time‐step analyses into species distribution models,The influence of the number and distribution of background points in presence-background species distribution models,,Recurring publication signal (2 matched works) in species_distribution; worth reading recent papers for advisor-fit and funding alignment.,Lead with your interest in species distribution and reference one recent paper where their method could be applied to your data.,https://orcid.org/0000-0003-0739-309X,https://openalex.org/A5004829315,2026-04-10
472,C - keep on longlist,Héctor Tuy,Career stage unclear (manual check needed),Deutsche Gesellschaft für Internationale Zusammenarbeit,PH,Non-US,no,Possible (manual verification needed),Selective but variable,4,2021,food_webs; bayesian_models,5,24,105,Ecological Modelling; European Journal of Agronomy; AGU Fall Meeting Abstracts,Agroecological food web modelling to evaluate and design organic and conventional agricultural systems,Hierarchical Bayesian inference and spatial validation of socio-ecological system dynamics models: participatory modelling for Indigenous smallholder agriculture and food security in Guatemala,Development of a new modular software tool for agroecological food web model development: Tiko'n,"Recurring publication signal (4 matched works) in food_webs, bayesian_models; worth reading recent papers for advisor-fit and funding alignment.",Lead with your interest in food webs and reference one recent paper where their method could be applied to your data.,https://orcid.org/0000-0002-5963-6607,https://openalex.org/A5035151035,2026-04-10
473,C - keep on longlist,Rong Liu,Career stage unclear (manual check needed),Chongqing University of Posts and Telecommunications,CN,Non-US,no,Strong (university advisor pipeline),Selective but variable,3,2022,food_webs,8,93,357,Physica A Statistical Mechanics and its Applications; Complexity; International Journal of Biomathematics,Analysis on stochastic food-web model with intraguild predation and mixed functional responses,Dynamics of a Stochastic Three‐Species Food Web Model with Omnivory and Ratio‐Dependent Functional Response,Complex dynamics and optimal harvesting for a stochastic food-web model with intraguild predation and time delays,Recurring publication signal (3 matched works) in food_webs; worth reading recent papers for advisor-fit and funding alignment.,Lead with your interest in food webs and reference one recent paper where their method could be applied to your data.,https://orcid.org/0000-0003-2853-1949,https://openalex.org/A5101686052,2026-04-10
474,C - keep on longlist,Tadelle Dessie,Likely faculty/senior PI,Ministry of Agriculture and Rural Development,PL,Non-US,no,Possible (manual verification needed),Selective but variable,3,2022,species_distribution,38,336,5351,Frontiers in Genetics; Frontiers in Ecology and Evolution,Species and Phenotypic Distribution Models Reveal Population Differentiation in Ethiopian Indigenous Chickens,Ecological niche modelling for delineating livestock ecotypes and exploring environmental genomic adaptation: The example of Ethiopian village chicken,Ecological niche modelling as a tool to identify candidate indigenous chicken ecotypes of Tigray (Ethiopia),Recurring publication signal (3 matched works) in species_distribution; worth reading recent papers for advisor-fit and funding alignment.,Lead with your interest in species distribution and reference one recent paper where their method could be applied to your data.,https://orcid.org/0000-0002-1630-0417,https://openalex.org/A5088528713,2026-04-10
475,C - keep on longlist,Naifeng Lin,Likely faculty/senior PI,Ministry of Ecology and Environment,CN,Non-US,no,Possible (manual verification needed),Selective but variable,3,2023,ecological_networks; bayesian_models,14,49,578,Journal of Environmental Management; SSRN Electronic Journal; Environmental Science & Policy,A Bayesian network-GIS probabilistic model for addressing human disturbance risk to ecological conservation redline areas,The Ecological Conservation Redline program: A new model for improving China's protected area network,A Bayesian Network-Gis Probabilistic Model for Addressing Human Disturbance Risk to Ecological Conservation Redline Areas,"Recurring publication signal (3 matched works) in ecological_networks, bayesian_models; worth reading recent papers for advisor-fit and funding alignment.",Lead with your interest in ecological networks and reference one recent paper where their method could be applied to your data.,,https://openalex.org/A5067239053,2026-04-10
476,C - keep on longlist,Eric J. Ward,Likely faculty/senior PI,NOAA National Marine Fisheries Service,US,US,no,Lower (not a typical PhD advisor home),Selective but variable,3,2024,species_distribution; forecasting,52,269,12710,Fish and Fisheries; Canadian Journal of Fisheries and Aquatic Sciences; PeerJ,Comparing predictions of fisheries bycatch using multiple spatiotemporal species distribution model frameworks,Leveraging ecological indicators to improve short term forecasts of fish recruitment,The shadow model: how and why small choices in spatially explicit species distribution models affect predictions,"Recurring publication signal (3 matched works) in species_distribution, forecasting; worth reading recent papers for advisor-fit and funding alignment.",Lead with your interest in species distribution and reference one recent paper where their method could be applied to your data.,https://orcid.org/0000-0002-4359-0296,https://openalex.org/A5024451566,2026-04-10
477,C - keep on longlist,Mathieu Chevalier,Likely faculty/senior PI,Ifremer,FR,Non-US,no,Possible (manual verification needed),Selective but variable,3,2022,joint_models; species_distribution,19,96,1184,Journal of Ecology; Global Change Biology; bioRxiv (Cold Spring Harbor Laboratory),Scale dependence of ecological assembly rules: Insights from empirical datasets and joint species distribution modelling,Applying landscape metrics to species distribution model predictions to characterize internal range structure and associated changes,"A Multifaceted Framework To Assess tradeoffs in Interpretability, Explanatory and Predictive Performances Of Alternative Joint Species Distribution Models","Recurring publication signal (3 matched works) in joint_models, species_distribution; worth reading recent papers for advisor-fit and funding alignment.",Lead with your interest in joint models and reference one recent paper where their method could be applied to your data.,https://orcid.org/0000-0002-1170-5343,https://openalex.org/A5070156855,2026-04-10
478,C - keep on longlist,Morgane Travers‐Trolet,Likely faculty/senior PI,Ifremer,FR,Non-US,no,Possible (manual verification needed),Selective but variable,3,2024,ecosystem_modeling; ecological_networks,28,74,2694,Journal of Applied Ecology; Frontiers in Marine Science; Ecological Modelling,The Ocean Decade: A True Ecosystem Modeling Challenge,Perspectives in modelling ecological interaction networks for sustainable ecosystem management,Improving confidence in complex ecosystem models: The sensitivity analysis of an Atlantis ecosystem model,"Recurring publication signal (3 matched works) in ecosystem_modeling, ecological_networks; worth reading recent papers for advisor-fit and funding alignment.",Lead with your interest in ecosystem modeling and reference one recent paper where their method could be applied to your data.,https://orcid.org/0000-0003-1493-662X,https://openalex.org/A5021692439,2026-04-10
479,C - keep on longlist,J.M. Bellido-Millán,Likely faculty/senior PI,Instituto Español de Oceanografía,ES,Non-US,no,Possible (manual verification needed),Selective but variable,3,2021,food_webs; species_distribution,37,174,3778,Ecological Modelling; Journal of Sea Research; DIGITAL.CSIC (Spanish National Research Council (CSIC)),Predicting marine species distributions: Complementarity of food-web and Bayesian hierarchical modelling approaches,A food-web comparative modeling approach highlights ecosystem singularities of the Gulf of Alicante (Western Mediterranean Sea),Complementarity of food web and Bayesian hierarchical modelling approaches to predict marine species distributions under climate change,"Recurring publication signal (3 matched works) in food_webs, species_distribution; worth reading recent papers for advisor-fit and funding alignment.",Lead with your interest in food webs and reference one recent paper where their method could be applied to your data.,https://orcid.org/0000-0002-6887-4391,https://openalex.org/A5009546159,2026-04-10
480,C - keep on longlist,Georgia Smies,Career stage unclear (manual check needed),Salish Kootenai College,US,US,no,Strong (university advisor pipeline),Selective but variable,3,2023,forecasting,1,3,10,Zenodo (CERN European Organization for Nuclear Research); Ecology and Evolution,Assessing opportunities and inequities in undergraduate ecological forecasting education,Assessing opportunities and inequities in undergraduate ecological forecasting education,Assessing opportunities and inequities in undergraduate ecological forecasting education,Recurring publication signal (3 matched works) in forecasting; worth reading recent papers for advisor-fit and funding alignment.,Lead with your interest in forecasting and reference one recent paper where their method could be applied to your data.,,https://openalex.org/A5011984548,2026-04-10
481,C - keep on longlist,David G. Reid,Likely faculty/senior PI,International Council for the Exploration of the Sea,DK,Non-US,no,Possible (manual verification needed),Selective but variable,3,2021,food_webs; ecosystem_modeling,57,332,10831,ICES Journal of Marine Science; Frontiers in Marine Science,Fishers’ knowledge improves the accuracy of food web model predictions,Combining Ecosystem and Single-Species Modeling to Provide Ecosystem-Based Fisheries Management Advice Within Current Management Systems,Modelling the food web in the Irish Sea in the context of a depleted commercial fish community. Part 2: ICES Ecopath with Ecosim Key Run,"Recurring publication signal (3 matched works) in food_webs, ecosystem_modeling; worth reading recent papers for advisor-fit and funding alignment.",Lead with your interest in food webs and reference one recent paper where their method could be applied to your data.,https://orcid.org/0000-0002-8494-0918,https://openalex.org/A5063470604,2026-04-10
482,C - keep on longlist,Drew W. Purves,Likely faculty/senior PI,Google DeepMind (United Kingdom),GB,Non-US,no,Possible (manual verification needed),Selective but variable,3,2020,food_webs; macroecology; ecosystem_modeling,52,147,13116,bioRxiv (Cold Spring Harbor Laboratory); Scientific Reports,Non-linear changes in modelled terrestrial ecosystems subjected to perturbations,Food Webs: Insights from a General Ecosystem Model,Mechanistic macroecology: exploring the drivers of latitudinal variation in terrestrial body size in a General Ecosystem Model,"Recurring publication signal (3 matched works) in food_webs, macroecology, ecosystem_modeling; worth reading recent papers for advisor-fit and funding alignment.",Lead with your interest in food webs and reference one recent paper where their method could be applied to your data.,,https://openalex.org/A5033972167,2026-04-10
483,C - keep on longlist,Barbara Robson,Likely faculty/senior PI,,,Non-US,unknown,Possible (manual verification needed),Selective but variable,3,2021,ecosystem_modeling,33,140,4846,Environmental Modelling & Software; Marine Pollution Bulletin,A system of metrics for the assessment and improvement of aquatic ecosystem models,Responses of marine ecosystems to climate change impacts and their treatment in biogeochemical ecosystem models,A short review of contemporary developments in aquatic ecosystem modelling of lakes and reservoirs,Recurring publication signal (3 matched works) in ecosystem_modeling; worth reading recent papers for advisor-fit and funding alignment.,Lead with your interest in ecosystem modeling and reference one recent paper where their method could be applied to your data.,https://orcid.org/0000-0002-1811-3527,https://openalex.org/A5013745815,2026-04-10
484,C - keep on longlist,Verena C. Griess,Possible faculty/senior researcher,ETH Zurich,CH,Non-US,no,Possible (manual verification needed),Selective but variable,2,2020,species_distribution,29,94,2746,CABI Reviews; Biological Invasions,"Species distribution models (SDM): applications, benefits and challenges in invasive species management.",Oh the places they’ll go: improving species distribution modelling for invasive forest pests in an uncertain world,,Recurring publication signal (2 matched works) in species_distribution; worth reading recent papers for advisor-fit and funding alignment.,Lead with your interest in species distribution and reference one recent paper where their method could be applied to your data.,https://orcid.org/0000-0002-3856-3736,https://openalex.org/A5047134145,2026-04-10
485,C - keep on longlist,Muammer Kurnaz,Career stage unclear (manual check needed),,,Non-US,unknown,Possible (manual verification needed),Selective but variable,3,2023,species_distribution,8,57,210,Folia Biologica; TURKISH JOURNAL OF ZOOLOGY; Journal of Biosciences,A Contribution to the Biogeography of<i>Ablepharus anatolicus</i>and<i>A. budaki</i>(Squamata: Scincidae) Using Ecological Niche Modeling in Turkey,"A contribution to the biogeography and taxonomy of two Anatolian mountain brook newts, Neurergusbarani and N. strauchii (Amphibia: Salamandridae) using ecological niche modeling",Geographic distribution of two Montivipera taxa using ecological niche modeling,Recurring publication signal (3 matched works) in species_distribution; worth reading recent papers for advisor-fit and funding alignment.,Lead with your interest in species distribution and reference one recent paper where their method could be applied to your data.,https://orcid.org/0000-0002-0498-0208,https://openalex.org/A5042961734,2026-04-10
486,C - keep on longlist,Quentin D. Read,Likely faculty/senior PI,Agricultural Research Service,US,US,no,Possible (manual verification needed),Selective but variable,3,2022,remote_sensing,24,163,2904,Global Ecology and Biogeography,Towards connecting biodiversity and geodiversity across scales with satellite remote sensing,"Towards mapping biodiversity from above: Can fusing lidar and hyperspectral remote sensing predict taxonomic, functional, and phylogenetic tree diversity in temperate forests?",Remote Sensing of Geodiversity as a Link to Biodiversity,Recurring publication signal (3 matched works) in remote_sensing; worth reading recent papers for advisor-fit and funding alignment.,Lead with your interest in remote sensing and reference one recent paper where their method could be applied to your data.,https://orcid.org/0000-0003-4315-5582,https://openalex.org/A5060442727,2026-04-10
487,C - keep on longlist,Samuel A. Cushman,Possible faculty/senior researcher,Oxford Instruments (United Kingdom),GB,Non-US,no,Possible (manual verification needed),Moderate,2,2024,species_distribution,78,400,22638,Ecological Informatics; Ecological Modelling,Not seeing the forest for the trees: Generalised linear model out-performs random forest in species distribution modelling for Southeast Asian felids,"Comparing the performance of global, geographically weighted and ecologically weighted species distribution models for Scottish wildcats using GLM and Random Forest predictive modeling",,Recurring publication signal (2 matched works) in species_distribution; worth reading recent papers for advisor-fit and funding alignment.,Lead with your interest in species distribution and reference one recent paper where their method could be applied to your data.,https://orcid.org/0000-0002-2742-065X,https://openalex.org/A5088029271,2026-04-10
488,C - keep on longlist,Heidi Pethybridge,Likely faculty/senior PI,CSIRO Oceans and Atmosphere,AU,Non-US,no,Possible (manual verification needed),Selective but variable,3,2020,ecosystem_modeling,32,83,2682,Methods in Ecology and Evolution; Ecological Modelling; Frontiers in Marine Science,Calibrating process-based marine ecosystem models: An example case using Atlantis,Contrasting Futures for Australia’s Fisheries Stocks Under IPCC RCP8.5 Emissions – A Multi-Ecosystem Model Approach,"<scp>Atlantis</scp>: A spatially explicit end‐to‐end marine ecosystem model with dynamically integrated physics, ecology and socio‐economic modules",Recurring publication signal (3 matched works) in ecosystem_modeling; worth reading recent papers for advisor-fit and funding alignment.,Lead with your interest in ecosystem modeling and reference one recent paper where their method could be applied to your data.,https://orcid.org/0000-0002-7291-5766,https://openalex.org/A5031194545,2026-04-10
489,C - keep on longlist,Raphaël Girardin,Possible faculty/senior researcher,Ifremer,FR,Non-US,no,Possible (manual verification needed),Selective but variable,3,2023,ecosystem_modeling; ecological_networks,13,28,524,Ecological Modelling; Ecological Indicators,Detection of fishing pressure using ecological network indicators derived from ecosystem models,Improving confidence in complex ecosystem models: The sensitivity analysis of an Atlantis ecosystem model,Calibrating process-based marine ecosystem models: An example case using Atlantis,"Recurring publication signal (3 matched works) in ecosystem_modeling, ecological_networks; worth reading recent papers for advisor-fit and funding alignment.",Lead with your interest in ecosystem modeling and reference one recent paper where their method could be applied to your data.,https://orcid.org/0000-0001-5244-0225,https://openalex.org/A5019607769,2026-04-10
490,C - keep on longlist,Angelito Enriquez Malicse,Career stage unclear (manual check needed),,,Non-US,unknown,Possible (manual verification needed),Selective but variable,4,2026,ecological_networks,0,12,0,Zenodo (CERN European Organization for Nuclear Research); Open Science Framework; OSF Preprints (OSF Preprints),Node-Density Network Model for Multi-Species Evolutionary and Ecological Dynamics: Analytical Foundations and Empirical Validation,Node-Density Network Model for Multi-Species Evolutionary and Ecological Dynamics: Analytical Foundations and Empirical Validation,Node-Density Network Model for Multi-Species Evolutionary and Ecological Dynamics: Analytical Foundations and Empirical Validation,Recurring publication signal (4 matched works) in ecological_networks; worth reading recent papers for advisor-fit and funding alignment.,Lead with your interest in ecological networks and reference one recent paper where their method could be applied to your data.,,https://openalex.org/A5130261839,2026-04-10
491,C - keep on longlist,Stefano Salon,Likely faculty/senior PI,National Institute of Oceanography and Applied Geophysics,IT,Non-US,no,Possible (manual verification needed),Selective but variable,3,2022,ecosystem_modeling,28,141,2693,Ocean science; Frontiers in Marine Science; Journal of Marine Systems,Novel metrics based on Biogeochemical Argo data to improve the model uncertainty evaluation of the CMEMS Mediterranean marine ecosystem forecasts,Modeling Carbon Budgets and Acidification in the Mediterranean Sea Ecosystem Under Contemporary and Future Climate,Temporal scales of variability in the Mediterranean Sea ecosystem: Insight from a coupled model,Recurring publication signal (3 matched works) in ecosystem_modeling; worth reading recent papers for advisor-fit and funding alignment.,Lead with your interest in ecosystem modeling and reference one recent paper where their method could be applied to your data.,https://orcid.org/0000-0003-1233-8271,https://openalex.org/A5000717820,2026-04-10
492,C - keep on longlist,Katie Witkiewitz,Likely faculty/senior PI,,,Non-US,unknown,Possible (manual verification needed),Moderate,3,2024,bayesian_models,70,676,22137,Advances in Methods and Practices in Psychological Science,A Tutorial on Analyzing Ecological Momentary Assessment Data in Psychological Research With Bayesian (Generalized) Mixed-Effects Models,"Author response for ""A Tutorial on Analyzing Ecological Momentary Assessment Data in Psychological Research With Bayesian (Generalized) Mixed-Effects Models""","Author response for ""A Tutorial on Analyzing Ecological Momentary Assessment Data in Psychological Research With Bayesian (Generalized) Mixed-Effects Models""",Recurring publication signal (3 matched works) in bayesian_models; worth reading recent papers for advisor-fit and funding alignment.,Lead with your interest in bayesian models and reference one recent paper where their method could be applied to your data.,https://orcid.org/0000-0002-1086-3067,https://openalex.org/A5003570906,2026-04-10
493,C - keep on longlist,Alexey Shiklomanov,Likely faculty/senior PI,Goddard Space Flight Center,US,US,no,Possible (manual verification needed),Selective but variable,3,2022,forecasting; ecosystem_modeling,19,133,1606,Global Change Biology,A Community Convention for Ecological Forecasting: Output Files and Metadata,Beyond ecosystem modeling: A roadmap to community cyberinfrastructure for ecological data‐model integration,"Review for ""Regional ecological forecasting across scales: A manifesto for a biodiversity hotspot""","Recurring publication signal (3 matched works) in forecasting, ecosystem_modeling; worth reading recent papers for advisor-fit and funding alignment.",Lead with your interest in forecasting and reference one recent paper where their method could be applied to your data.,https://orcid.org/0000-0003-4022-5979,https://openalex.org/A5027601247,2026-04-10
494,C - keep on longlist,Xiang Gao,Career stage unclear (manual check needed),Ministry of Education,KR,Non-US,no,Possible (manual verification needed),Selective but variable,3,2025,species_distribution,8,45,198,Scientific Reports; Transboundary and Emerging Diseases; Veterinary Quarterly,Ecological niche modeling based on ensemble algorithms to predicting current and future potential distribution of African swine fever virus in China,Global Risk Assessment of the Occurrence of Bovine Lumpy Skin Disease: Based on an Ecological Niche Model,Global foot-and-mouth disease risk assessment based on multiple spatial analysis and ecological niche model,Recurring publication signal (3 matched works) in species_distribution; worth reading recent papers for advisor-fit and funding alignment.,Lead with your interest in species distribution and reference one recent paper where their method could be applied to your data.,https://orcid.org/0000-0001-7698-8578,https://openalex.org/A5088785179,2026-04-10
495,C - keep on longlist,Peter Kullberg,Career stage unclear (manual check needed),Finnish Environment Institute,FI,Non-US,no,Possible (manual verification needed),Selective but variable,4,2023,remote_sensing,9,18,1008,SSRN Electronic Journal; Forest Ecology and Management,Remote sensing in mapping biodiversity – A case study of epiphytic lichen communities,Remote Sensing in Mapping Biodiversity – a Case Study of Epiphytic Lichen Communities,Remote Sensing in Mapping Biodiversity – a Case Study of Epiphytic Lichen Communities,Recurring publication signal (4 matched works) in remote_sensing; worth reading recent papers for advisor-fit and funding alignment.,Lead with your interest in remote sensing and reference one recent paper where their method could be applied to your data.,https://orcid.org/0000-0001-9722-8009,https://openalex.org/A5088780417,2026-04-10
496,C - keep on longlist,Erin M. Schliep,Likely faculty/senior PI,Max Planck Institute of Animal Behavior,DE,Non-US,no,Possible (manual verification needed),Selective but variable,3,2023,joint_models; species_distribution,16,88,994,Canadian Journal of Fisheries and Aquatic Sciences; Journal of Applied Ecology; The Quarterly Review of Biology,Improved understanding and prediction of freshwater fish communities through the use of joint species distribution models,Accounting for spatiotemporal sampling variation in joint species distribution models,"<i>Joint Species Distribution Modelling: With Applications in R. Ecology, Biodiversity and Conservation</i>. By Otso Ovaskainen and Nerea Abrego. Cambridge and New York: Cambridge University Press. $115.00 (hardcover); $49.99 (paper). xvi + 372 p. + 8 pl.; ill.; index. ISBN: 978-1-108-49246-1 (hc); 978-1-108-71678-9 (pb). 2020.","Recurring publication signal (3 matched works) in joint_models, species_distribution; worth reading recent papers for advisor-fit and funding alignment.",Lead with your interest in joint models and reference one recent paper where their method could be applied to your data.,https://orcid.org/0000-0002-2803-3467,https://openalex.org/A5044191969,2026-04-10
497,C - keep on longlist,Wei Cheng,Likely faculty/senior PI,National Oceanic and Atmospheric Administration,US,US,no,Possible (manual verification needed),Selective but variable,3,2021,ecosystem_modeling; food_webs,32,108,3927,Frontiers in Marine Science; Ecography,Ensemble Projections of Future Climate Change Impacts on the Eastern Bering Sea Food Web Using a Multispecies Size Spectrum Model,Observational Needs Supporting Marine Ecosystems Modeling and Forecasting: From the Global Ocean to Regional and Coastal Systems,Forecasting community reassembly using climate‐linked spatio‐temporal ecosystem models,"Recurring publication signal (3 matched works) in ecosystem_modeling, food_webs; worth reading recent papers for advisor-fit and funding alignment.",Lead with your interest in ecosystem modeling and reference one recent paper where their method could be applied to your data.,https://orcid.org/0000-0002-5892-2177,https://openalex.org/A5073852205,2026-04-10
498,C - keep on longlist,Jakob Bro‐Jørgensen,Likely faculty/senior PI,,,Non-US,unknown,Possible (manual verification needed),Selective but variable,3,2024,joint_models,24,56,2185,Ecography,Using joint species distribution modelling to identify climatic and non‐climatic drivers of Afrotropical ungulate distributions,"Author response for ""Using joint species distribution modelling to identify climatic and non‐climatic drivers of Afrotropical ungulate distributions""","Author response for ""Using joint species distribution modelling to identify climatic and non‐climatic drivers of Afrotropical ungulate distributions""",Recurring publication signal (3 matched works) in joint_models; worth reading recent papers for advisor-fit and funding alignment.,Lead with your interest in joint models and reference one recent paper where their method could be applied to your data.,https://orcid.org/0000-0003-2899-8477,https://openalex.org/A5042709431,2026-04-10
499,C - keep on longlist,Janne Mäyrä,Career stage unclear (manual check needed),Finnish Environment Institute,FI,Non-US,no,Possible (manual verification needed),Selective but variable,4,2023,remote_sensing,6,20,387,SSRN Electronic Journal; Forest Ecology and Management,Remote sensing in mapping biodiversity – A case study of epiphytic lichen communities,Remote Sensing in Mapping Biodiversity – a Case Study of Epiphytic Lichen Communities,Remote Sensing in Mapping Biodiversity – a Case Study of Epiphytic Lichen Communities,Recurring publication signal (4 matched works) in remote_sensing; worth reading recent papers for advisor-fit and funding alignment.,Lead with your interest in remote sensing and reference one recent paper where their method could be applied to your data.,https://orcid.org/0000-0001-7622-9512,https://openalex.org/A5000209782,2026-04-10
500,C - keep on longlist,Ensheng Weng,Likely faculty/senior PI,Goddard Institute for Space Studies,US,US,no,Possible (verify if supervising PhD students),Selective but variable,3,2022,data_assimilation; ecosystem_modeling,39,119,9283,Geoscientific model development; BioScience,A model-independent data assimilation (MIDA) module and its applications in ecology,"A Conceptual Framework to Integrate Biodiversity, Ecosystem Function, and Ecosystem Service Models",A Model-Independent Data Assimilation (MIDA) module and its applications in ecology,"Recurring publication signal (3 matched works) in data_assimilation, ecosystem_modeling; worth reading recent papers for advisor-fit and funding alignment.",Lead with your interest in data assimilation and reference one recent paper where their method could be applied to your data.,https://orcid.org/0000-0002-1858-4847,https://openalex.org/A5042986822,2026-04-10
501,C - keep on longlist,Evgeny A. Pakhomov,Likely faculty/senior PI,Fisheries and Oceans Canada,CA,Non-US,no,Possible (manual verification needed),Selective but variable,3,2024,food_webs; ecosystem_modeling,48,313,9001,Frontiers in Ecology and Evolution; Ecological Modelling; PLoS ONE,"Southern Ocean Food Web Modelling: Progress, Prognoses, and Future Priorities for Research and Policy Makers",Modelling microplastic bioaccumulation and biomagnification potential in the Galápagos penguin ecosystem using Ecopath and Ecosim (EwE) with Ecotracer,"Seasonality of modelled planktonic food web structure in the Strait of Georgia, Canada","Recurring publication signal (3 matched works) in food_webs, ecosystem_modeling; worth reading recent papers for advisor-fit and funding alignment.",Lead with your interest in food webs and reference one recent paper where their method could be applied to your data.,https://orcid.org/0000-0002-6145-2129,https://openalex.org/A5041126500,2026-04-10
502,C - keep on longlist,Narayani Barve,Possible faculty/senior researcher,National Institute for Mathematical and Biological Synthesis,US,US,no,Possible (verify if supervising PhD students),Selective but variable,2,2020,species_distribution,25,74,5464,PeerJ; Methods in Ecology and Evolution,<scp>ntbox</scp>: An <scp>r</scp> package with graphical user interface for modelling and evaluating multidimensional ecological niches,kuenm: an R package for detailed development of ecological niche models using Maxent,,Recurring publication signal (2 matched works) in species_distribution; worth reading recent papers for advisor-fit and funding alignment.,Lead with your interest in species distribution and reference one recent paper where their method could be applied to your data.,https://orcid.org/0000-0002-7893-8774,https://openalex.org/A5090904338,2026-04-10
503,C - keep on longlist,Konstantinos Tsagarakis,Likely faculty/senior PI,Hellenic Centre for Marine Research,GR,Non-US,no,Possible (manual verification needed),Selective but variable,3,2025,food_webs; ecosystem_modeling,22,99,1864,The Science of The Total Environment; Deep Sea Research Part I Oceanographic Research Papers; Frontiers in Marine Science,"Ecosystem-level responses to multiple stressors using a time-dynamic food-web model: The case of a re-oligotrophicated coastal embayment (Saronikos Gulf, E Mediterranean)",Ecosystem Models and Effort Simulations of an Untrawled Gulf in the Central Aegean Sea,"Ecopath modelling Unravels the food web of the Gulf of Corinth, a deep Mediterranean important marine Mammal area","Recurring publication signal (3 matched works) in food_webs, ecosystem_modeling; worth reading recent papers for advisor-fit and funding alignment.",Lead with your interest in food webs and reference one recent paper where their method could be applied to your data.,https://orcid.org/0000-0003-2408-0220,https://openalex.org/A5084215180,2026-04-10
504,C - keep on longlist,Gherardo Chirici,Possible faculty/senior researcher,Gruppo Italiano per lo Studio dei Carcinomi dell’Apparato Digerente,IT,Non-US,no,Possible (manual verification needed),Selective but variable,2,2019,species_distribution; remote_sensing,52,390,8991,Ecological Modelling; Remote Sensing of Environment,Species distribution modelling to support forest management. A literature review,Time-lapsing biodiversity: An open source method for measuring diversity changes by remote sensing,,"Recurring publication signal (2 matched works) in species_distribution, remote_sensing; worth reading recent papers for advisor-fit and funding alignment.",Lead with your interest in species distribution and reference one recent paper where their method could be applied to your data.,https://orcid.org/0000-0002-0669-5726,https://openalex.org/A5089367824,2026-04-10
505,C - keep on longlist,Harald Asmus,Likely faculty/senior PI,Alfred-Wegener-Institut Helmholtz-Zentrum für Polar- und Meeresforschung,DE,Non-US,no,Possible (manual verification needed),Selective but variable,3,2021,food_webs,34,522,3380,Ecological Modelling; Restoration Ecology; Frontiers in Marine Science,Toward Improved Model Capacities for Assessment of Climate Impacts on Coastal Bentho-Pelagic Food Webs and Ecosystem Services,Quantitative food web modeling unravels the importance of the microphytobenthos-meiofauna pathway for a high trophic transfer by meiofauna in soft-bottom intertidal food webs.,Food web models reveal potential ecosystem effects of seagrass recovery in the northern Wadden Sea,Recurring publication signal (3 matched works) in food_webs; worth reading recent papers for advisor-fit and funding alignment.,Lead with your interest in food webs and reference one recent paper where their method could be applied to your data.,https://orcid.org/0000-0002-7772-1303,https://openalex.org/A5054054758,2026-04-10
506,C - keep on longlist,Valerie A. Steen,Career stage unclear (manual check needed),Oregon Department of Fish and Wildlife,US,US,no,Possible (manual verification needed),Selective but variable,2,2020,species_distribution,9,15,439,Methods in Ecology and Evolution; Diversity and Distributions,Spatial thinning and class balancing: Key choices lead to variation in the performance of species distribution models with citizen science data,An evaluation of stringent filtering to improve species distribution models from citizen science data,,Recurring publication signal (2 matched works) in species_distribution; worth reading recent papers for advisor-fit and funding alignment.,Lead with your interest in species distribution and reference one recent paper where their method could be applied to your data.,https://orcid.org/0000-0002-1417-8139,https://openalex.org/A5016814340,2026-04-10
507,C - keep on longlist,Zhixin Zhang,Possible faculty/senior researcher,Changjiang Water Resources Commission,CN,Non-US,no,Possible (manual verification needed),Selective but variable,2,2020,species_distribution,38,331,4539,Ecological Indicators; The Science of The Total Environment,Using species distribution model to predict the impact of climate change on the potential distribution of Japanese whiting Sillago japonica,Does weighting presence records improve the performance of species distribution models? A test using fish larval stages in the Yangtze Estuary,,Recurring publication signal (2 matched works) in species_distribution; worth reading recent papers for advisor-fit and funding alignment.,Lead with your interest in species distribution and reference one recent paper where their method could be applied to your data.,https://orcid.org/0000-0002-3457-2934,https://openalex.org/A5100643812,2026-04-10
508,C - keep on longlist,Matt White,Possible faculty/senior researcher,Arthur Rylah Institute for Environmental Research,AU,Non-US,no,Possible (manual verification needed),Selective but variable,2,2019,species_distribution; joint_models,29,85,5630,Ecological Monographs; Ecology,A comprehensive evaluation of predictive performance of 33 species distribution models at species and community levels,Computationally efficient joint species distribution modeling of big spatial data,,"Recurring publication signal (2 matched works) in species_distribution, joint_models; worth reading recent papers for advisor-fit and funding alignment.",Lead with your interest in species distribution and reference one recent paper where their method could be applied to your data.,https://orcid.org/0000-0002-6948-3659,https://openalex.org/A5113525383,2026-04-10
